Название,a,b,c,d
5 к 1.1,58,61,42,17
5 к 1.2,58,54,36,50
5 к 1.3,57,44,44,47
5 к 1.4,53,48,34,52
5 к 2.1,50,47,35,48
5 к 2.2,36,31,52,37
5 к 2.3,54,47,50,41
5 к 2.4,40,40,51,39
5 к 3.1,26,34,30,28
5 к 3.2,19,29,37,23
5 к 3.3,34,30,27,35
5 к 3.4,39,38,43,55
10к 1.1,29,45,36,35
10к 1.2,30,41,40,42
10к 1.3,35,29,18,25
10к 1.4,28,39,36,40
10к 2.1,20,14,9,16
10к 2.2,11,13,12,6
10к 2.3,11,16,17,16
10к 2.4,9,10,20,11
10к 3.1,36,36,36,36
10к 3.2,47,40,43,29
10к 3.3,48,32,32,36
10к 3.4,26,27,28,23
25к 1.1,29,35,20,16
25к 1.2,21,30,28,12
25к 1.3,21,21,15,18
25к 1.4,22,26,20,20
25к 2.1,26,22,24,18
25к 2.2,27,23,20,31
25к 2.3,21,29,38,30
25к 2.4,20,26,23,24
25к 3.1,17,15,20,20
25к 3.2,16,26,28,15
25к 3.3,41,21,10,25
25к 3.4,13,25,20,19
50к 1.1,5,9,17,13
50к 1.2,9,15,15,10
50к 1.3,16,12,11,9
50к 1.4,7,13,18,11
50к 2.1,10,12,10,11
50к 2.2,10,5,16,10
50к 2.3,13,9,9,8
50к 2.4,12,14,13,11
50к 3.1,11,5,8,13
50к 3.2,9,11,12,14
50к 3.3,10,3,13,5
50к 3.4,8,6,7,7
75к 1.1,11,5,7,11
75к 1.2,3,6,6,5
75к 1.3,4,3,9,7
75к 1.4,11,9,5,7
75к 2.1,8,12,9,13
75к 2.2,10,9,11,16
75к 2.3,21,15,13,16
75к 2.4,11,13,12,10
75к 3.1,15,17,12,15
75к 3.2,15,14,7,12
75к 3.3,13,11,14,11
75к 3.4,21,13,13,17
