Название,Номер квадрата,Количество точек
1.1.1.4.jpg,1,45
1.1.1.4.jpg,2,49
1.1.1.4.jpg,3,40
1.1.1.4.jpg,4,49
1.1.2.4.jpg,5,35
1.1.2.4.jpg,6,45
1.1.2.4.jpg,7,33
1.1.2.4.jpg,8,38
1.1.3.4.jpg,9,25
1.1.3.4.jpg,10,34
1.1.3.4.jpg,11,17
1.1.3.4.jpg,12,22
1.1.4.4.jpg,13,38
1.1.4.4.jpg,14,39
1.1.4.4.jpg,15,10
1.1.4.4.jpg,16,30
1.2.1.4.jpg,1,32
1.2.1.4.jpg,2,39
1.2.1.4.jpg,3,39
1.2.1.4.jpg,4,33
1.2.2.4.jpg,5,32
1.2.2.4.jpg,6,38
1.2.2.4.jpg,7,42
1.2.2.4.jpg,8,32
1.2.3.4.jpg,9,24
1.2.3.4.jpg,10,38
1.2.3.4.jpg,11,42
1.2.3.4.jpg,12,40
1.2.4.4.jpg,13,32
1.2.4.4.jpg,14,34
1.2.4.4.jpg,15,17
1.2.4.4.jpg,16,25
1.3.1.4.jpg,1,42
1.3.1.4.jpg,2,26
1.3.1.4.jpg,3,35
1.3.1.4.jpg,4,31
1.3.2.4.jpg,5,33
1.3.2.4.jpg,6,30
1.3.2.4.jpg,7,47
1.3.2.4.jpg,8,27
1.3.3.4.jpg,9,26
1.3.3.4.jpg,10,26
1.3.3.4.jpg,11,41
1.3.3.4.jpg,12,40
1.3.4.4.jpg,13,30
1.3.4.4.jpg,14,28
1.3.4.4.jpg,15,22
1.3.4.4.jpg,16,25
2.1.1.4.jpg,1,84
2.1.1.4.jpg,2,59
2.1.1.4.jpg,3,83
2.1.1.4.jpg,4,83
2.1.2.4.jpg,5,87
2.1.2.4.jpg,6,88
2.1.2.4.jpg,7,89
2.1.2.4.jpg,8,99
2.1.3.4.jpg,9,94
2.1.3.4.jpg,10,77
2.1.3.4.jpg,11,91
2.1.3.4.jpg,12,99
2.1.4.4.jpg,13,72
2.1.4.4.jpg,14,76
2.1.4.4.jpg,15,53
2.1.4.4.jpg,16,70
2.2.1.4.jpg,1,90
2.2.1.4.jpg,2,78
2.2.1.4.jpg,3,63
2.2.1.4.jpg,4,51
2.2.2.4.jpg,5,67
2.2.2.4.jpg,6,88
2.2.2.4.jpg,7,84
2.2.2.4.jpg,8,86
2.2.3.4.jpg,9,91
2.2.3.4.jpg,10,72
2.2.3.4.jpg,11,73
2.2.3.4.jpg,12,95
2.2.4.4.jpg,13,78
2.2.4.4.jpg,14,119
2.2.4.4.jpg,15,86
2.2.4.4.jpg,16,76
2.3.1.4.jpg,1,83
2.3.1.4.jpg,2,92
2.3.1.4.jpg,3,99
2.3.1.4.jpg,4,90
2.3.2.4.jpg,5,79
2.3.2.4.jpg,6,102
2.3.2.4.jpg,7,69
2.3.2.4.jpg,8,82
2.3.3.4.jpg,9,94
2.3.3.4.jpg,10,94
2.3.3.4.jpg,11,74
2.3.3.4.jpg,12,70
2.3.4.4.jpg,13,100
2.3.4.4.jpg,14,88
2.3.4.4.jpg,15,97
2.3.4.4.jpg,16,101
3.1.1.4.jpg,1,41
3.1.1.4.jpg,2,33
3.1.1.4.jpg,3,44
3.1.1.4.jpg,4,40
3.1.2.4.jpg,5,38
3.1.2.4.jpg,6,38
3.1.2.4.jpg,7,38
3.1.2.4.jpg,8,30
3.1.3.4.jpg,9,20
3.1.3.4.jpg,10,24
3.1.3.4.jpg,11,28
3.1.3.4.jpg,12,27
3.1.4.4.jpg,13,20
3.1.4.4.jpg,14,24
3.1.4.4.jpg,15,26
3.1.4.4.jpg,16,31
3.2.1.4.jpg,1,46
3.2.1.4.jpg,2,40
3.2.1.4.jpg,3,47
3.2.1.4.jpg,4,32
3.2.2.4.jpg,5,27
3.2.2.4.jpg,6,45
